Paikka_Id,KuntaNimi,Nimi,lat,lon
977,Pihtipudas,Saanijärvi - luusua,63.38320269689842,25.576475245747623
1083,Mäntsälä,Hirvihaaranjoki,60.625753859400476,25.23206839573957
3236,Reisjärvi,Korpinen,63.67602999924018,24.951579603365822
1070,Pyhtää,Hirvikoski,60.61386181137306,26.64576792407249
1417,Inari,Repojoki,68.44560529150176,25.93796873507329
1255,Kärsämäki,Venetpalo,63.895003821896104,25.780934780600386
2981,Loviisa,"Koskenkylänjoki, Niinikoski",60.51578353763668,25.939706621736
1095,Vantaa,Hanala,60.3174002861479,25.08386673728546
1267,Siikalatva,Uljua + Siikajoki,64.33645901521872,25.8710964046528
984,Viitasaari,"Vuosjärvi, Huopanankoski",63.04414174424849,25.525253788912025
3159,Alavus,Vähä-Allasjärvi,62.58284733691678,23.376618410209016
896,Kitee,Kontturi,61.977716482479366,30.320053773188906
1425,Inari,Lutto,68.46492967884741,28.46401491013101
1410,Utsjoki,Onnelansuvanto,69.9119920932981,27.026974722340242
3216,Siikalatva,Lämsä meno (uljuan täyttökanava),64.30356251642992,26.15551433961991
1092,Tuusula,Päijännetunneli - Rusutjärvi,60.428899519406826,24.97906477537934
1268,Siikajoki,Harjunniva,64.62499085344056,25.399005945130124
1015,Laukaa,"Saraavesi, Kuhankoski",62.37626415624657,25.94818231646789
1081,Porvoo,Vekkoski,60.39307295595963,25.428412477980405
1400,Pello,Konttajärvi - luusua,66.82674043392542,24.38654400155388
1084,Riihimäki,Hirvijärvi - luusua,60.668846910680216,24.665963816569995
1428,Kuusamo,Myllykoski,66.15608441306345,29.55540398033512
3235,Raahe,Pattijoki,64.68853204366633,24.581015334929837
980,Viitasaari,"Kärnäjärvi, Kellankoski",63.156442600232545,25.933476653677182
1073,Pyhtää,Ediskoski,60.50212733972979,26.533242025232912
1075,Loviisa,Ahvenkoski,60.49373477069337,26.451314526392533
895,Tohmajärvi,Vääräkoski,62.21430875895047,30.500721770332518
1426,Kuusamo,Oulankajoki,66.3692718058378,29.315239138915395
1087,Hyvinkää,Kytäjärvi - luusua,60.61030606971963,24.67194883381444
3728,Rovaniemi,Paattinkijärvi,66.23555856477495,26.579427442202892
974,Imatra,"Vuoksi, Tainionkoski",61.21067203139038,28.783904353021804
1412,Utsjoki,Alaköngäs,70.07630254700813,27.695117849706545
1413,Inari,Iijärvi - luusua,69.50945189476661,28.037848917443128
1415,Inari,Juutuanjoki,68.88918786047367,26.925190579507635
1256,Pyhäjärvi,Pyhäjärvi - luusua,63.732040210024344,25.977792635171472
1076,Lapinjärvi,Pyhäjärvi - luusua,60.703582456528395,26.01235966310357
1265,Siikalatva,"Kortteinen, pato",64.17270092615198,26.028916958838767
1085,Hyvinkää,Ylä-Suolijärvi - luusua,60.62303933627489,24.656314706623487
1090,Vantaa,Myllymäki,60.29632638177028,24.86508834707605
1401,Pello,"Iso-Vietonen, Kaaranneskoski",66.64670322043708,24.425703773132877
1414,Inari,Kettujoki,68.91910626477849,26.747540315959306
1098,Vihti,Palojärvenkoski,60.29262887028515,24.373183224071607
2987,Vihti,"Enäjärvi, Hulttilanjoki",60.3629862883971,24.421260411517395
1403,Ylitornio,"Tengeliönjoki, Haapakoski",66.38133539734766,23.783980919564037
3218,Tyrnävä,"Tyrnävänjoki, lm",64.7022368640899,25.71119793179427
1411,Utsjoki,"Utsjoki, Patoniva",69.7836621730441,26.999533275676864
1091,Tuusula,Tuusulanjärvi - luusua,60.40408684352065,25.02114578974425
1097,Helsinki,Oulunkylä,60.237813172506506,24.98427297775208
1419,Inari,"Ivalojoki, Pajakoski",68.5545882197016,27.274470987976184
3238,Haapajärvi,Iso-Juurikka,63.75760249197293,24.957249543405773
1423,Inari,Kaitakoski,68.90873331138083,28.44891941861761
1074,Loviisa,"Kymijoki, länsihaara",60.49373477069337,26.451314526392533
3239,Haapajärvi,Jämsänkosken sp,63.800851241206324,25.247802915796328
1078,Lahti,Patomäenkoski,60.94316989892985,25.61870684497668
1427,Kuusamo,"Kitkajoki, Käylä",66.30200331586687,29.14450164776543
3237,Reisjärvi,Kiljanjärvi,63.61831536959952,24.930595132243
1013,Hankasalmi,Armisvesi - luusua,62.39213986487543,26.558783921846274
